%	Data from http://www.asdi.com/apps/arm.html, figure 1
%Wavelength,m	Irradiance, W/m^2/nm
711.00e-9	1.1485
712.00e-9	1.1445
713.00e-9	1.1379
714.00e-9	1.1243
715.00e-9	1.0976
716.00e-9	1.0649
717.00e-9	1.0275
718.00e-9	1.0036
719.00e-9	0.99205
720.00e-9	0.99270
721.00e-9	0.99814
722.00e-9	1.0013
723.00e-9	1.0023
724.00e-9	1.0002
725.00e-9	0.99738
726.00e-9	0.99528
727.00e-9	0.99558
728.00e-9	1.0005
729.00e-9	1.0089
730.00e-9	1.0210
731.00e-9	1.0364
732.00e-9	1.0503
733.00e-9	1.0624
734.00e-9	1.0692
735.00e-9	1.0730
736.00e-9	1.0748
737.00e-9	1.0747
738.00e-9	1.0739
739.00e-9	1.0737
740.00e-9	1.0749
741.00e-9	1.0780
742.00e-9	1.0808
743.00e-9	1.0833
744.00e-9	1.0849
745.00e-9	1.0859
746.00e-9	1.0860
747.00e-9	1.0838
748.00e-9	1.0809
749.00e-9	1.0780
750.00e-9	1.0760
751.00e-9	1.0744
752.00e-9	1.0728
753.00e-9	1.0709
754.00e-9	1.0649
755.00e-9	1.0419
756.00e-9	0.99866
757.00e-9	0.90281
758.00e-9	0.79763
759.00e-9	0.69624
760.00e-9	0.62284
761.00e-9	0.59050
762.00e-9	0.58787
763.00e-9	0.61972
764.00e-9	0.68563
765.00e-9	0.75788
766.00e-9	0.83307
767.00e-9	0.89446
768.00e-9	0.94307
769.00e-9	0.98042
770.00e-9	1.0027
771.00e-9	1.0155
772.00e-9	1.0232
773.00e-9	1.0266
774.00e-9	1.0276
775.00e-9	1.0276
776.00e-9	1.0270
777.00e-9	1.0256
778.00e-9	1.0245
779.00e-9	1.0234
780.00e-9	1.0220
781.00e-9	1.0201
782.00e-9	1.0181
783.00e-9	1.0165
784.00e-9	1.0138
785.00e-9	1.0104
786.00e-9	1.0061
787.00e-9	1.0009
788.00e-9	0.99515
789.00e-9	0.98893
790.00e-9	0.98259
791.00e-9	0.97700
792.00e-9	0.97238
793.00e-9	0.97008
794.00e-9	0.96901
795.00e-9	0.96867
796.00e-9	0.96904
797.00e-9	0.96842
798.00e-9	0.96707
799.00e-9	0.96495
800.00e-9	0.96238
801.00e-9	0.95972
802.00e-9	0.95715
803.00e-9	0.95579
804.00e-9	0.95456
805.00e-9	0.95315
806.00e-9	0.95095
807.00e-9	0.94730
808.00e-9	0.94237
809.00e-9	0.93585
810.00e-9	0.92441
811.00e-9	0.90948
812.00e-9	0.89108
813.00e-9	0.86950
814.00e-9	0.84874
815.00e-9	0.82969
816.00e-9	0.81620
817.00e-9	0.81038
818.00e-9	0.80806
819.00e-9	0.80783
820.00e-9	0.80667
821.00e-9	0.80797
822.00e-9	0.81274
823.00e-9	0.82002
824.00e-9	0.82561
825.00e-9	0.82967
826.00e-9	0.83233
827.00e-9	0.83471
828.00e-9	0.83653
829.00e-9	0.83706
830.00e-9	0.83716
831.00e-9	0.83833
832.00e-9	0.84150
833.00e-9	0.84755
834.00e-9	0.85408
835.00e-9	0.86089
836.00e-9	0.86739
837.00e-9	0.87336
838.00e-9	0.87855
839.00e-9	0.88174
840.00e-9	0.88327
841.00e-9	0.88401
842.00e-9	0.88424
843.00e-9	0.88424
844.00e-9	0.88371
845.00e-9	0.88254
846.00e-9	0.87856
847.00e-9	0.87349
848.00e-9	0.86754
849.00e-9	0.86166
850.00e-9	0.85304
851.00e-9	0.84265
852.00e-9	0.83077
853.00e-9	0.82539
854.00e-9	0.82398
855.00e-9	0.82679
856.00e-9	0.83092
857.00e-9	0.83594
858.00e-9	0.84181
859.00e-9	0.84850
860.00e-9	0.85306
861.00e-9	0.85509
862.00e-9	0.85176
863.00e-9	0.84405
864.00e-9	0.83518
865.00e-9	0.82687
866.00e-9	0.82259
867.00e-9	0.81992
868.00e-9	0.81863
869.00e-9	0.81933
870.00e-9	0.82160
871.00e-9	0.82508
872.00e-9	0.82851
873.00e-9	0.83003
874.00e-9	0.83020
875.00e-9	0.82900
876.00e-9	0.82726
877.00e-9	0.82522
878.00e-9	0.82292
879.00e-9	0.82105
880.00e-9	0.81961
881.00e-9	0.81857
882.00e-9	0.81726
883.00e-9	0.81554
884.00e-9	0.81360
885.00e-9	0.81177
886.00e-9	0.81060
887.00e-9	0.80944
888.00e-9	0.80787
889.00e-9	0.80500
890.00e-9	0.80108
891.00e-9	0.79602
892.00e-9	0.78774
893.00e-9	0.77663
894.00e-9	0.76275
895.00e-9	0.74539
896.00e-9	0.72606
897.00e-9	0.70587
898.00e-9	0.68595
899.00e-9	0.67036
900.00e-9	0.65917
901.00e-9	0.65371
902.00e-9	0.65507
903.00e-9	0.65799
904.00e-9	0.66194
905.00e-9	0.66400
906.00e-9	0.66426
907.00e-9	0.66301
908.00e-9	0.65984
909.00e-9	0.65433
910.00e-9	0.64732
911.00e-9	0.63880
912.00e-9	0.63217
913.00e-9	0.62753
914.00e-9	0.62514
915.00e-9	0.62522
916.00e-9	0.62659
917.00e-9	0.62914
918.00e-9	0.63303
919.00e-9	0.63769
920.00e-9	0.64255
921.00e-9	0.64695
922.00e-9	0.65083
923.00e-9	0.65379
924.00e-9	0.65541
925.00e-9	0.65197
926.00e-9	0.64418
927.00e-9	0.63174
928.00e-9	0.61168
929.00e-9	0.58663
930.00e-9	0.55728
931.00e-9	0.52311
932.00e-9	0.48694
933.00e-9	0.45030
934.00e-9	0.41443
935.00e-9	0.38598
936.00e-9	0.36320
937.00e-9	0.34686
938.00e-9	0.34205
939.00e-9	0.34238
940.00e-9	0.34765
941.00e-9	0.35712
942.00e-9	0.36624
943.00e-9	0.37487
944.00e-9	0.38197
945.00e-9	0.38648
946.00e-9	0.38856
947.00e-9	0.38761
948.00e-9	0.38470
949.00e-9	0.38340
950.00e-9	0.38390
951.00e-9	0.38666
952.00e-9	0.38993
953.00e-9	0.39365
954.00e-9	0.39808
955.00e-9	0.40239
956.00e-9	0.40652
957.00e-9	0.41042
958.00e-9	0.41505
959.00e-9	0.42069
960.00e-9	0.42746
961.00e-9	0.43476
962.00e-9	0.44233
963.00e-9	0.45045
964.00e-9	0.46078
965.00e-9	0.47210
966.00e-9	0.48414
967.00e-9	0.49696
968.00e-9	0.51076
969.00e-9	0.52411
970.00e-9	0.53652
971.00e-9	0.54698
972.00e-9	0.55601
973.00e-9	0.56358
974.00e-9	0.56926
975.00e-9	0.57361
976.00e-9	0.57658
977.00e-9	0.57715
978.00e-9	0.57713
979.00e-9	0.57741
980.00e-9	0.57863
981.00e-9	0.58088
982.00e-9	0.58435
983.00e-9	0.58915
984.00e-9	0.59517
985.00e-9	0.60158
986.00e-9	0.60817
987.00e-9	0.61400
988.00e-9	0.61889
989.00e-9	0.62323
990.00e-9	0.62706
991.00e-9	0.63058
992.00e-9	0.63331
993.00e-9	0.63493
994.00e-9	0.63597
995.00e-9	0.63690
996.00e-9	0.63771
997.00e-9	0.63815
998.00e-9	0.63762
999.00e-9	0.63675
1000.0e-9	0.63655
1001.0e-9	0.62093
1002.0e-9	0.61899
1003.0e-9	0.61740
1004.0e-9	0.61627
1005.0e-9	0.61569
1006.0e-9	0.61488
1007.0e-9	0.61360
1008.0e-9	0.61242
1009.0e-9	0.61193
1010.0e-9	0.61147
1011.0e-9	0.61054
1012.0e-9	0.60962
1013.0e-9	0.60879
1014.0e-9	0.60783
1015.0e-9	0.60654
1016.0e-9	0.60522
1017.0e-9	0.60402
1018.0e-9	0.60282
1019.0e-9	0.60153
1020.0e-9	0.59976
1021.0e-9	0.59804
1022.0e-9	0.59662
1023.0e-9	0.59533
1024.0e-9	0.59442
1025.0e-9	0.59354
1026.0e-9	0.59214
1027.0e-9	0.59064
1028.0e-9	0.58888
1029.0e-9	0.58698
1030.0e-9	0.58526
1031.0e-9	0.58376
1032.0e-9	0.58226
1033.0e-9	0.58072
1034.0e-9	0.57922
1035.0e-9	0.57778
1036.0e-9	0.57640
1037.0e-9	0.57501
1038.0e-9	0.57362
1039.0e-9	0.57222
1040.0e-9	0.57082
1041.0e-9	0.56944
1042.0e-9	0.56838
1043.0e-9	0.56730
1044.0e-9	0.56587
1045.0e-9	0.56449
1046.0e-9	0.56297
1047.0e-9	0.56141
1048.0e-9	0.55982
1049.0e-9	0.55813
1050.0e-9	0.55634
1051.0e-9	0.55453
1052.0e-9	0.55278
1053.0e-9	0.55102
1054.0e-9	0.54905
1055.0e-9	0.54698
1056.0e-9	0.54488
1057.0e-9	0.54272
1058.0e-9	0.54057
1059.0e-9	0.53852
1060.0e-9	0.53654
1061.0e-9	0.53460
1062.0e-9	0.53269
1063.0e-9	0.53089
1064.0e-9	0.52924
1065.0e-9	0.52768
1066.0e-9	0.52610
1067.0e-9	0.52462
1068.0e-9	0.52332
1069.0e-9	0.52209
1070.0e-9	0.52080
1071.0e-9	0.51949
1072.0e-9	0.51820
1073.0e-9	0.51702
1074.0e-9	0.51573
1075.0e-9	0.51414
1076.0e-9	0.51240
1077.0e-9	0.51058
1078.0e-9	0.50864
1079.0e-9	0.50656
1080.0e-9	0.50432
1081.0e-9	0.50201
1082.0e-9	0.49975
1083.0e-9	0.49741
1084.0e-9	0.49489
1085.0e-9	0.49221
1086.0e-9	0.48935
1087.0e-9	0.48621
1088.0e-9	0.48290
1089.0e-9	0.47953
1090.0e-9	0.47594
1091.0e-9	0.47210
1092.0e-9	0.46803
1093.0e-9	0.46382
1094.0e-9	0.45946
1095.0e-9	0.45501
1096.0e-9	0.45058
1097.0e-9	0.44617
1098.0e-9	0.44151
1099.0e-9	0.43668
1100.0e-9	0.43145
1101.0e-9	0.42575
1102.0e-9	0.41914
1103.0e-9	0.41161
1104.0e-9	0.40312
1105.0e-9	0.39338
1106.0e-9	0.38255
1107.0e-9	0.36994
1108.0e-9	0.35637
1109.0e-9	0.34136
1110.0e-9	0.32566
1111.0e-9	0.30897
1112.0e-9	0.29190
1113.0e-9	0.27495
1114.0e-9	0.25816
1115.0e-9	0.24230
1116.0e-9	0.22702
1117.0e-9	0.21368
1118.0e-9	0.20179
1119.0e-9	0.19163
1120.0e-9	0.18376
1121.0e-9	0.17712
1122.0e-9	0.17269
1123.0e-9	0.16911
1124.0e-9	0.16738
1125.0e-9	0.16649
1126.0e-9	0.16757
1127.0e-9	0.16943
1128.0e-9	0.17264
1129.0e-9	0.17632
1130.0e-9	0.18049
1131.0e-9	0.18486
1132.0e-9	0.18942
1133.0e-9	0.19417
1134.0e-9	0.19871
1135.0e-9	0.20302
1136.0e-9	0.20671
1137.0e-9	0.20926
1138.0e-9	0.21139
1139.0e-9	0.21228
1140.0e-9	0.21291
1141.0e-9	0.21283
1142.0e-9	0.21265
1143.0e-9	0.21256
1144.0e-9	0.21257
1145.0e-9	0.21370
1146.0e-9	0.21526
1147.0e-9	0.21857
1148.0e-9	0.22254
1149.0e-9	0.22801
1150.0e-9	0.23468
1151.0e-9	0.24231
1152.0e-9	0.25124
1153.0e-9	0.26048
1154.0e-9	0.27026
1155.0e-9	0.28000
1156.0e-9	0.28936
1157.0e-9	0.29868
1158.0e-9	0.30730
1159.0e-9	0.31587
1160.0e-9	0.32357
1161.0e-9	0.33128
1162.0e-9	0.33765
1163.0e-9	0.34380
1164.0e-9	0.34887
1165.0e-9	0.35335
1166.0e-9	0.35712
1167.0e-9	0.36035
1168.0e-9	0.36299
1169.0e-9	0.36468
1170.0e-9	0.36597
1171.0e-9	0.36614
1172.0e-9	0.36619
1173.0e-9	0.36573
1174.0e-9	0.36522
1175.0e-9	0.36452
1176.0e-9	0.36383
1177.0e-9	0.36291
1178.0e-9	0.36191
1179.0e-9	0.36121
1180.0e-9	0.36063
1181.0e-9	0.36059
1182.0e-9	0.36077
1183.0e-9	0.36147
1184.0e-9	0.36258
1185.0e-9	0.36377
1186.0e-9	0.36507
1187.0e-9	0.36636
1188.0e-9	0.36773
1189.0e-9	0.36896
1190.0e-9	0.36965
1191.0e-9	0.37022
1192.0e-9	0.37010
1193.0e-9	0.36992
1194.0e-9	0.36901
1195.0e-9	0.36805
1196.0e-9	0.36724
1197.0e-9	0.36644
1198.0e-9	0.36564
1199.0e-9	0.36487
1200.0e-9	0.36442
1201.0e-9	0.36418
1202.0e-9	0.36431
1203.0e-9	0.36477
1204.0e-9	0.36548
1205.0e-9	0.36668
1206.0e-9	0.36788
1207.0e-9	0.36918
1208.0e-9	0.37049
1209.0e-9	0.37196
1210.0e-9	0.37341
1211.0e-9	0.37488
1212.0e-9	0.37633
1213.0e-9	0.37773
1214.0e-9	0.37911
1215.0e-9	0.38016
1216.0e-9	0.38112
1217.0e-9	0.38200
1218.0e-9	0.38284
1219.0e-9	0.38351
1220.0e-9	0.38405
1221.0e-9	0.38460
1222.0e-9	0.38518
1223.0e-9	0.38572
1224.0e-9	0.38620
1225.0e-9	0.38670
1226.0e-9	0.38728
1227.0e-9	0.38784
1228.0e-9	0.38836
1229.0e-9	0.38887
1230.0e-9	0.38920
1231.0e-9	0.38952
1232.0e-9	0.38949
1233.0e-9	0.38942
1234.0e-9	0.38925
1235.0e-9	0.38904
1236.0e-9	0.38863
1237.0e-9	0.38812
1238.0e-9	0.38752
1239.0e-9	0.38683
1240.0e-9	0.38614
1241.0e-9	0.38543
1242.0e-9	0.38467
1243.0e-9	0.38378
1244.0e-9	0.38285
1245.0e-9	0.38172
1246.0e-9	0.38057
1247.0e-9	0.37918
1248.0e-9	0.37779
1249.0e-9	0.37592
1250.0e-9	0.37405
1251.0e-9	0.37170
1252.0e-9	0.36930
1253.0e-9	0.36617
1254.0e-9	0.36287
1255.0e-9	0.35918
1256.0e-9	0.35532
1257.0e-9	0.35108
1258.0e-9	0.34657
1259.0e-9	0.34214
1260.0e-9	0.33778
1261.0e-9	0.33384
1262.0e-9	0.33062
1263.0e-9	0.32775
1264.0e-9	0.32580
1265.0e-9	0.32418
1266.0e-9	0.32409
1267.0e-9	0.32413
1268.0e-9	0.32580
1269.0e-9	0.32747
1270.0e-9	0.33004
1271.0e-9	0.33264
1272.0e-9	0.33511
1273.0e-9	0.33755
1274.0e-9	0.33988
1275.0e-9	0.34218
1276.0e-9	0.34408
1277.0e-9	0.34579
1278.0e-9	0.34701
1279.0e-9	0.34784
1280.0e-9	0.34862
1281.0e-9	0.34936
1282.0e-9	0.35017
1283.0e-9	0.35110
1284.0e-9	0.35191
1285.0e-9	0.35238
1286.0e-9	0.35275
1287.0e-9	0.35265
1288.0e-9	0.35254
1289.0e-9	0.35217
1290.0e-9	0.35179
1291.0e-9	0.35070
1292.0e-9	0.34958
1293.0e-9	0.34776
1294.0e-9	0.34584
1295.0e-9	0.34363
1296.0e-9	0.34135
1297.0e-9	0.33898
1298.0e-9	0.33656
1299.0e-9	0.33382
1300.0e-9	0.33087
1301.0e-9	0.32781
1302.0e-9	0.32468
1303.0e-9	0.32147
1304.0e-9	0.31813
1305.0e-9	0.31477
1306.0e-9	0.31138
1307.0e-9	0.30799
1308.0e-9	0.30461
1309.0e-9	0.30122
1310.0e-9	0.29781
1311.0e-9	0.29444
1312.0e-9	0.29153
1313.0e-9	0.28866
1314.0e-9	0.28600
1315.0e-9	0.28336
1316.0e-9	0.28075
1317.0e-9	0.27815
1318.0e-9	0.27500
1319.0e-9	0.27167
1320.0e-9	0.26789
1321.0e-9	0.26388
1322.0e-9	0.25916
1323.0e-9	0.25398
1324.0e-9	0.24852
1325.0e-9	0.24274
1326.0e-9	0.23684
1327.0e-9	0.23085
1328.0e-9	0.22514
1329.0e-9	0.22009
1330.0e-9	0.21536
1331.0e-9	0.21170
1332.0e-9	0.20815
1333.0e-9	0.20519
1334.0e-9	0.20216
1335.0e-9	0.19857
1336.0e-9	0.19486
1337.0e-9	0.18989
1338.0e-9	0.18470
1339.0e-9	0.17721
1340.0e-9	0.16923
1341.0e-9	0.15888
1342.0e-9	0.14768
1343.0e-9	0.13497
1344.0e-9	0.12140
1345.0e-9	0.10766
1346.0e-9	0.093705
1347.0e-9	0.080130
1348.0e-9	0.066912
1349.0e-9	0.054744
1350.0e-9	0.043887
1351.0e-9	0.034113
1352.0e-9	0.026264
1353.0e-9	0.019310
1354.0e-9	0.014441
1355.0e-9	0.010089
1356.0e-9	0.0073810
1357.0e-9	0.0049290
1358.0e-9	0.0036200
1359.0e-9	0.0024120
1360.0e-9	0.0018900
1361.0e-9	0.0014180
1362.0e-9	0.0012440
1363.0e-9	0.0010900
1364.0e-9	0.0010770
1365.0e-9	0.0010810
1366.0e-9	0.0012030
1367.0e-9	0.0013380
1368.0e-9	0.0015140
1369.0e-9	0.0017010
1370.0e-9	0.0019110
1371.0e-9	0.0021260
1372.0e-9	0.0023100
1373.0e-9	0.0024740
1374.0e-9	0.0025750
1375.0e-9	0.0026170
1376.0e-9	0.0026190
1377.0e-9	0.0025800
1378.0e-9	0.0025420
1379.0e-9	0.0025040
1380.0e-9	0.0024930
1381.0e-9	0.0025590
1382.0e-9	0.0026420
1383.0e-9	0.0027960
1384.0e-9	0.0029690
1385.0e-9	0.0032270
1386.0e-9	0.0034990
1387.0e-9	0.0038530
1388.0e-9	0.0042030
1389.0e-9	0.0045020
1390.0e-9	0.0047940
1391.0e-9	0.0050320
1392.0e-9	0.0052620
1393.0e-9	0.0055730
1394.0e-9	0.0058990
1395.0e-9	0.0062250
1396.0e-9	0.0065500
1397.0e-9	0.0068590
1398.0e-9	0.0071690
1399.0e-9	0.0075250
1400.0e-9	0.0079080
1401.0e-9	0.0084230
1402.0e-9	0.0090180
1403.0e-9	0.0097080
1404.0e-9	0.010484
1405.0e-9	0.011417
1406.0e-9	0.012502
1407.0e-9	0.013727
1408.0e-9	0.015182
1409.0e-9	0.016673
1410.0e-9	0.018250
1411.0e-9	0.019877
1412.0e-9	0.021664
1413.0e-9	0.023447
1414.0e-9	0.025321
1415.0e-9	0.027191
1416.0e-9	0.029126
1417.0e-9	0.031061
1418.0e-9	0.033147
1419.0e-9	0.035249
1420.0e-9	0.037584
1421.0e-9	0.039890
1422.0e-9	0.041916
1423.0e-9	0.043885
1424.0e-9	0.045551
1425.0e-9	0.047136
1426.0e-9	0.048481
1427.0e-9	0.049768
1428.0e-9	0.050562
1429.0e-9	0.051192
1430.0e-9	0.051667
1431.0e-9	0.052093
1432.0e-9	0.052631
1433.0e-9	0.053228
1434.0e-9	0.054021
1435.0e-9	0.054970
1436.0e-9	0.056109
1437.0e-9	0.057394
1438.0e-9	0.059008
1439.0e-9	0.060987
1440.0e-9	0.062960
1441.0e-9	0.064979
1442.0e-9	0.067208
1443.0e-9	0.069791
1444.0e-9	0.072570
1445.0e-9	0.075886
1446.0e-9	0.079322
1447.0e-9	0.083160
1448.0e-9	0.087108
1449.0e-9	0.091616
1450.0e-9	0.096137
1451.0e-9	0.10095
1452.0e-9	0.10567
1453.0e-9	0.10984
1454.0e-9	0.11381
1455.0e-9	0.11644
1456.0e-9	0.11883
1457.0e-9	0.11949
1458.0e-9	0.11990
1459.0e-9	0.11848
1460.0e-9	0.11686
1461.0e-9	0.11386
1462.0e-9	0.11073
1463.0e-9	0.10732
1464.0e-9	0.10395
