% from http://omlc.ogi.edu/spectra/water/data/buiteveld94.dat
%
% H. Buiteveld and J. M. H. Hakvoort and M. Donze, "The optical properties
% of pure water," in SPIE Proceedings on Ocean Optics XII, edited by J. S.
% Jaffe, 2258, 174--183, (1994).
% 
% lambda	 absorption
%  (m) 	   (1/m)   
424e-9	 8.4e-05e2
426e-9	 8.7e-05e2
428e-9	 8.9e-05e2
430e-9	 9.2e-05e2
432e-9	 9.4e-05e2
434e-9	 9.7e-05e2
436e-9	 9.9e-05e2
438e-9	 0.000102e2
440e-9	 0.000104e2
442e-9	 0.000106e2
444e-9	 0.000108e2
446e-9	 0.00011e2
448e-9	 0.000112e2
450e-9	 0.000114e2
452e-9	 0.000116e2
454e-9	 0.000118e2
456e-9	 0.00012e2
458e-9	 0.000122e2
460e-9	 0.000124e2
462e-9	 0.000126e2
464e-9	 0.000128e2
466e-9	 0.00013e2
468e-9	 0.000133e2
470e-9	 0.000135e2
472e-9	 0.000138e2
474e-9	 0.000141e2
476e-9	 0.000144e2
478e-9	 0.000148e2
480e-9	 0.000152e2
482e-9	 0.000157e2
484e-9	 0.000162e2
486e-9	 0.000167e2
488e-9	 0.000174e2
490e-9	 0.000181e2
492e-9	 0.000189e2
494e-9	 0.000198e2
496e-9	 0.000209e2
498e-9	 0.000223e2
500e-9	 0.000238e2
502e-9	 0.000255e2
504e-9	 0.000273e2
506e-9	 0.000291e2
508e-9	 0.00031e2
510e-9	 0.000329e2
512e-9	 0.000349e2
514e-9	 0.000368e2
516e-9	 0.000386e2
518e-9	 0.000404e2
520e-9	 0.000409e2
522e-9	 0.000416e2
524e-9	 0.000409e2
526e-9	 0.000427e2
528e-9	 0.000423e2
530e-9	 0.000429e2
532e-9	 0.000445e2
534e-9	 0.000456e2
536e-9	 0.00047e2
538e-9	 0.00048e2
540e-9	 0.000495e2
542e-9	 0.000503e2
544e-9	 0.000527e2
546e-9	 0.000544e2
548e-9	 0.000564e2
550e-9	 0.000588e2
552e-9	 0.000611e2
554e-9	 0.000631e2
556e-9	 0.000646e2
558e-9	 0.000658e2
560e-9	 0.000672e2
562e-9	 0.000686e2
564e-9	 0.000699e2
566e-9	 0.000718e2
568e-9	 0.000734e2
570e-9	 0.000759e2
572e-9	 0.000787e2
574e-9	 0.000819e2
576e-9	 0.000858e2
578e-9	 0.000896e2
580e-9	 0.000952e2
582e-9	 0.001e2
584e-9	 0.001079e2
586e-9	 0.001159e2
588e-9	 0.001253e2
590e-9	 0.001356e2
592e-9	 0.001459e2
594e-9	 0.001567e2
596e-9	 0.0017e2
598e-9	 0.00186e2
600e-9	 0.002224e2
602e-9	 0.002366e2
604e-9	 0.002448e2
606e-9	 0.002587e2
608e-9	 0.002653e2
610e-9	 0.002691e2
612e-9	 0.002715e2
614e-9	 0.00274e2
616e-9	 0.002764e2
618e-9	 0.002785e2
620e-9	 0.00281e2
622e-9	 0.002839e2
624e-9	 0.002868e2
626e-9	 0.002893e2
628e-9	 0.002922e2
630e-9	 0.002955e2
632e-9	 0.002988e2
634e-9	 0.003011e2
636e-9	 0.003038e2
638e-9	 0.003076e2
640e-9	 0.003111e2
642e-9	 0.003144e2
644e-9	 0.003181e2
646e-9	 0.003223e2
648e-9	 0.003263e2
650e-9	 0.003315e2
652e-9	 0.003362e2
654e-9	 0.003423e2
656e-9	 0.003508e2
658e-9	 0.003636e2
660e-9	 0.003791e2
662e-9	 0.003931e2
664e-9	 0.004019e2
666e-9	 0.004072e2
668e-9	 0.004098e2
670e-9	 0.004122e2
672e-9	 0.00415e2
674e-9	 0.004173e2
676e-9	 0.004223e2
678e-9	 0.00427e2
680e-9	 0.004318e2
682e-9	 0.004381e2
684e-9	 0.004458e2
686e-9	 0.004545e2
688e-9	 0.004646e2
690e-9	 0.00476e2
692e-9	 0.004903e2
694e-9	 0.005071e2
696e-9	 0.005244e2
698e-9	 0.00547e2
700e-9	 0.005722e2
702e-9	 0.005995e2
704e-9	 0.006303e2
706e-9	 0.006628e2
708e-9	 0.006993e2
710e-9	 0.007415e2
712e-9	 0.007893e2
714e-9	 0.008445e2
716e-9	 0.009109e2
718e-9	 0.009871e2
720e-9	 0.010724e2
722e-9	 0.011679e2
724e-9	 0.012684e2
726e-9	 0.013719e2
728e-9	 0.01487e2
730e-9	 0.016211e2
732e-9	 0.017872e2
734e-9	 0.019917e2
736e-9	 0.022074e2
738e-9	 0.023942e2
740e-9	 0.025319e2
742e-9	 0.026231e2
744e-9	 0.026723e2
746e-9	 0.027021e2
748e-9	 0.027216e2
750e-9	 0.027334e2
752e-9	 0.027413e2
754e-9	 0.027478e2
756e-9	 0.027542e2
758e-9	 0.027628e2
760e-9	 0.02771e2
762e-9	 0.027733e2
764e-9	 0.027742e2
766e-9	 0.027701e2
768e-9	 0.02761e2
770e-9	 0.027542e2
772e-9	 0.027482e2
774e-9	 0.027305e2
776e-9	 0.027097e2
778e-9	 0.026896e2
780e-9	 0.02659e2
782e-9	 0.026332e2
784e-9	 0.026062e2
786e-9	 0.025702e2
788e-9	 0.025335e2
790e-9	 0.024924e2
792e-9	 0.024481e2
794e-9	 0.024083e2
796e-9	 0.023742e2
798e-9	 0.023332e2
800e-9	 0.022932e2
